2022. 02. 03. 16:24:04
Nev;Kod;Ertek
EAE-dirham;AED;4,199444
afgán afghani;AFN;108,618125
albán lek;ALL;122,656652
örmény dram;AMD;551,824167
holland antilláki forint;ANG;2,058598
angolai kwanza;AOA;597,151904
argentin peso;ARS;120,401253
ausztrál dollár;AUD;1,598948
arubai florin;AWG;2,058025
azerbajdzsáni manat;AZN;1,942648
bosznia-hercegovinai konvertibilis márka;BAM;1,980456
barbadosi dollár;BBD;2,306308
bangladesi taka;BDT;98,205644
bolgár új leva;BGN;1,959137
bahreini dinár;BHD;0,431074
burundi frank;BIF;2303,844505
bermudai dollár;BMD;1,143347
brunei dollár;BND;1,540151
bolíviai boliviano;BOB;7,875837
brazil real;BRL;6,038356
bahamai dollár;BSD;1,142218
bhutáni ngultrum;BTN;85,425336
botswanai pula;BWP;13,220668
fehérorosz rubel;BYN;2,962437
fehérorosz rubel (2000–2016);BYR;22409,604116
belize-i dollár;BZD;2,302461
kanadai dollár;CAD;1,448592
kongói frank;CDF;2303,844822
svájci frank;CHF;1,049776
Chilei unidades de fomento;CLF;0,033851
chilei peso;CLP;934,058038
kínai jüan;CNY;7,272845
kolumbiai peso;COP;4508,263542
Costa Rica-i colon;CRC;734,462436
kubai konvertibilis peso;CUC;1,143347
kubai peso;CUP;30,298699
Cape Verde-i escudo;CVE;112,048207
cseh korona;CZK;24,306457
dzsibuti frank;DJF;203,348573
dán korona;DKK;7,441166
dominikai peso;DOP;65,925524
algériai dínár;DZD;160,017152
egyiptomi font;EGP;17,991368
eritreai nakfa;ERN;17,150229
etiópiai birr;ETB;57,064283
euró;EUR;1
fidzsi dollár;FJD;2,461059
falkland-szigeteki font;FKP;0,832265
brit font;GBP;0,839783
grúz lari;GEL;3,458649
ghánai cedi;GHS;7,305993
gibraltári font;GIP;0,832265
gambiai dalasi;GMD;60,654498
guineai frank;GNF;10290,123972
guatemalai quetzal;GTQ;8,783941
guyanai dollár;GYD;238,873447
hongkongi dollár;HKD;8,910202
hodurasi lempira;HNL;28,160663
horvát kuna;HRK;7,529171
haiti gourde;HTG;116,011082
magyar forint;HUF;354,220735
indonéz rúpia;IDR;16441,389167
izraeli új sékel;ILS;3,646546
indiai rúpia;INR;85,404262
iraki dínár;IQD;1669,286837
iráni rial;IRR;48306,41721
izlandi korona;ISK;142,609486
jamaicai dollár;JMD;178,905985
jordániai dínár;JOD;0,810651
japán jen;JPY;131,312255
kenyai shilling;KES;129,868958
kirgizisztáni szom;KGS;96,930457
kambodzsai riel;KHR;4649,993016
comorei frank;KMF;497,870836
észak-koreai won;KPW;1029,012613
dél-koreai won;KRW;1373,137347
kuvaiti dínár;KWD;0,346034
kajmán-szigeteki dollár;KYD;0,951848
kazahsztáni tenge;KZT;496,763611
laoszi kip;LAK;12965,556925
libanoni font;LBP;1728,740959
Srí Lanka-i rúpia;LKR;231,589844
libériai dollár;LRD;174,932188
Lesothoi loti;LSL;17,538634
litvániai litas;LTL;3,376007
lett lats;LVL;0,691599
líbiai dínár;LYD;5,263146
marokkói dirham;MAD;10,687441
moldován lei;MDL;20,554691
madagaszkári ariary;MGA;4582,53534
macedon dínár;MKD;62,405998
mianmari kyat;MMK;2030,908991
mongóliai tugrik;MNT;3268,63646
makaói pataca;MOP;9,170026
mauritániai ouguiya;MRO;408,174735
mauritiusi rúpia;MUR;49,906968
maldív-szigeteki rufiyaa;MVR;17,640036
malawi kwacha;MWK;933,543882
mexikói peso;MXN;23,473256
malajziai ringgit;MYR;4,786624
mozambiki metikális;MZN;72,979659
namíbiai dollár;NAD;17,539568
nigériai naira;NGN;475,677628
nicaraguai córdoba;NIO;40,543558
norvég korona;NOK;9,989082
nepáli rúpia;NPR;136,680578
új-zélandi dollár;NZD;1,713968
ománi rial;OMR;0,44021
