2022.02.04. 10:44:15
Nev;Kod;Ertek
EAE-dirham;AED;4,213514
afgán afghani;AFN;107,332522
albán lek;ALL;121,616813
örmény dram;AMD;545,893066
holland antilláki forint;ANG;2,036463
angolai kwanza;AOA;599,138475
argentin peso;ARS;120,772633
ausztrál dollár;AUD;1,616105
arubai florin;AWG;2,065445
azerbajdzsáni manat;AZN;1,958349
bosznia-hercegovinai konvertibilis márka;BAM;1,95917
barbadosi dollár;BBD;2,28148
bangladesi taka;BDT;97,148828
bolgár új leva;BGN;1,958915
bahreini dinár;BHD;0,432463
burundi frank;BIF;2256,897923
bermudai dollár;BMD;1,147151
brunei dollár;BND;1,523591
bolíviai boliviano;BOB;7,791151
brazil real;BRL;6,061558
bahamai dollár;BSD;1,129921
bhutáni ngultrum;BTN;84,507544
botswanai pula;BWP;13,07834
fehérorosz rubel;BYN;2,930584
fehérorosz rubel (2000–2016);BYR;22484,15498
belize-i dollár;BZD;2,277673
kanadai dollár;CAD;1,459147
kongói frank;CDF;2312,655805
svájci frank;CHF;1,05773
Chilei unidades de fomento;CLF;0,034034
chilei peso;CLP;939,114487
kínai jüan;CNY;7,297004
kolumbiai peso;COP;4536,545355
Costa Rica-i colon;CRC;726,555529
kubai konvertibilis peso;CUC;1,147151
kubai peso;CUP;30,399495
Cape Verde-i escudo;CVE;110,453793
cseh korona;CZK;24,345069
dzsibuti frank;DJF;201,162082
dán korona;DKK;7,44128
dominikai peso;DOP;65,096699
algériai dínár;DZD;161,034725
egyiptomi font;EGP;18,050531
eritreai nakfa;ERN;17,207284
etiópiai birr;ETB;56,751908
euró;EUR;1
fidzsi dollár;FJD;2,455419
falkland-szigeteki font;FKP;0,835034
brit font;GBP;0,845846
grúz lari;GEL;3,470085
ghánai cedi;GHS;7,221425
gibraltári font;GIP;0,835034
gambiai dalasi;GMD;60,856238
guineai frank;GNF;10324,356858
guatemalai quetzal;GTQ;8,689452
guyanai dollár;GYD;236,304934
hongkongi dollár;HKD;8,933999
hodurasi lempira;HNL;28,25503
horvát kuna;HRK;7,529554
haiti gourde;HTG;114,762156
magyar forint;HUF;354,093318
indonéz rúpia;IDR;16502,394677
izraeli új sékel;ILS;3,668927
indiai rúpia;INR;85,686999
iraki dínár;IQD;1674,840116
iráni rial;IRR;48467,119771
izlandi korona;ISK;142,819198
jamaicai dollár;JMD;176,97996
jordániai dínár;JOD;0,813289
japán jen;JPY;131,851199
kenyai shilling;KES;130,313145
kirgizisztáni szom;KGS;97,279689
kambodzsai riel;KHR;4665,462175
