Nev;Kod;Ertek
EAE-dirham;AED;4,162047
afgán afghani;AFN;118,898584
albán lek;ALL;121,728666
örmény dram;AMD;547,168752
holland antilláki forint;ANG;2,042717
angolai kwanza;AOA;603,889746
argentin peso;ARS;118,164257
ausztrál dollár;AUD;1,576367
arubai florin;AWG;2,040233
azerbajdzsáni manat;AZN;1,928164
bosznia-hercegovinai konvertibilis márka;BAM;1,956612
barbadosi dollár;BBD;2,288515
bangladesi taka;BDT;97,408503
bolgár új leva;BGN;1,956133
bahreini dinár;BHD;0,427212
burundi frank;BIF;2262,624574
bermudai dollár;BMD;1,133148
brunei dollár;BND;1,525123
bolíviai boliviano;BOB;7,815024
brazil real;BRL;6,185746
bahamai dollár;BSD;1,133453
bhutáni ngultrum;BTN;84,322155
botswanai pula;BWP;13,021123
fehérorosz rubel;BYN;2,916366
fehérorosz rubel (2000–2016);BYR;22209,701209
belize-i dollár;BZD;2,284713
kanadai dollár;CAD;1,420044
kongói frank;CDF;2283,292857
svájci frank;CHF;1,034723
Chilei unidades de fomento;CLF;0,032849
chilei peso;CLP;906,099366
kínai jüan;CNY;7,184389
kolumbiai peso;COP;4504,829957
Costa Rica-i colon;CRC;719,42762
kubai konvertibilis peso;CUC;1,133148
kubai peso;CUP;30,028423
Cape Verde-i escudo;CVE;110,3091
cseh korona;CZK;24,355314
dzsibuti frank;DJF;201,78067
dán korona;DKK;7,443525
dominikai peso;DOP;65,479178
algériai dínár;DZD;158,781216
egyiptomi font;EGP;17,806971
eritreai nakfa;ERN;16,997242
etiópiai birr;ETB;56,391345
euró;EUR;1
fidzsi dollár;FJD;2,407429
falkland-szigeteki font;FKP;0,824841
brit font;GBP;0,835872
grúz lari;GEL;3,489579
ghánai cedi;GHS;7,10384
gibraltári font;GIP;0,824841
gambiai dalasi;GMD;59,660367
guineai frank;GNF;10257,600883
guatemalai quetzal;GTQ;8,733091
guyanai dollár;GYD;237,02476
hongkongi dollár;HKD;8,825127
hodurasi lempira;HNL;27,887149
horvát kuna;HRK;7,53113
haiti gourde;HTG;115,918343
magyar forint;HUF;357,978522
indonéz rúpia;IDR;16223,450187
izraeli új sékel;ILS;3,561881
indiai rúpia;INR;84,314188
iraki dínár;IQD;1654,265957
iráni rial;IRR;47875,503629
izlandi korona;ISK;145,41672
jamaicai dollár;JMD;176,40353
jordániai dínár;JOD;0,803352
japán jen;JPY;129,009473
kenyai shilling;KES;128,680005
kirgizisztáni szom;KGS;96,08676
kambodzsai riel;KHR;4615,385914
comorei frank;KMF;491,729372
észak-koreai won;KPW;1019,833397
dél-koreai won;KRW;1350,208219
kuvaiti dínár;KWD;0,342687
kajmán-szigeteki dollár;KYD;0,944615
kazahsztáni tenge;KZT;494,291975
laoszi kip;LAK;12861,755501
libanoni font;LBP;1713,985234
Srí Lanka-i rúpia;LKR;229,523287
libériai dollár;LRD;171,105734
Lesothoi loti;LSL;17,24084
litvániai litas;LTL;3,345892
lett lats;LVL;0,68543
líbiai dínár;LYD;5,195823
marokkói dirham;MAD;10,525008
moldován lei;MDL;20,458579
madagaszkári ariary;MGA;4516,755752
macedon dínár;MKD;61,639643
mianmari kyat;MMK;2015,270969
mongóliai tugrik;MNT;3239,478875
makaói pataca;MOP;9,092315
mauritániai ouguiya;MRO;404,533649
mauritiusi rúpia;MUR;49,523025
maldív-szigeteki rufiyaa;MVR;17,50712
malawi kwacha;MWK;925,338941
mexikói peso;MXN;23,22065
malajziai ringgit;MYR;4,743929
mozambiki metikális;MZN;72,328465
namíbiai dollár;NAD;17,240874
nigériai naira;NGN;465,848625
nicaraguai córdoba;NIO;40,186066
norvég korona;NOK;10,054145
nepáli rúpia;NPR;134,915128
új-zélandi dollár;NZD;1,686017
ománi rial;OMR;0,436224
panamai balboa;PAB;1,133453
perui sol;PEN;4,35164
pápua új-guineai kina;PGK;3,979726
fülöp-szigeteki peso;PHP;58,073508
pakisztáni rúpia;PKR;199,713606
lengyel zloty;PLN;4,532014
paraguayi guarani;PYG;7904,073856
katari rial;QAR;4,125767
román lej;RON;4,94551
szerb dínár;RSD;117,626428
orosz rubel;RUB;86,773034
ruandai frank;RWF;1176,950919
szaúdi riyal;SAR;4,250399
salamon-szigeteki dollár;SBD;9,127322
seychelle-szigeteki rúpia;SCR;14,835902
szudáni font;SDG;495,722742
svéd korona;SEK;10,427846
szingapúri dollár;SGD;1,524651
Szent Ilona-i font;SHP;1,560799
Sierra Leone-i leone;SLL;12832,901582
szomáli shilling;SOS;662,891262
suriname-i dollár;SRD;24,091295
São Tomé és Príncipe-i dobra;STD;23453,876215
Salvadori colón;SVC;9,917965
szíriai font;SYP;2846,467574
szváziföldi lilangeni;SZL;17,15856
thai baht;THB;37,306646
tádzsikisztáni somoni;TJS;12,802331
türkmenisztáni manat;TMT;3,97735
tunéziai dínár;TND;3,281033
tongai paanga;TOP;2,569923
török líra;TRY;15,200552
Trinidad és Tobago-i dollár;TTD;7,691475
tajvani új dollár;TWD;31,376302
tanzániai shilling;TZS;2617,571561
ukrán hrivnya;UAH;32,09173
ugandai shilling;UGX;3989,695039
USA-dollár;USD;1,133148
uruguay-i peso;UYU;50,615246
üzbegisztáni szum;UZS;12261,592058
venezuelai bolivar;VEF;242301293238,586
vietnami dong;VND;25643,139712
vanuatui vatu;VUV;128,806538
nyugat-szamoai tala;WST;2,960171
CFA frank BEAC;XAF;656,225143
kelet-karibi dollár;XCD;3,062389
CFA frank BCEAO;XOF;656,21935
csendes-óceáni valutaközösségi frank;XPF;119,688734
jemeni rial;YER;283,570299
dél-afrikai rand;ZAR;17,170966
Zambiai kwacha (1968–2012);ZMK;10199,692896
zambiai kwacha;ZMW;19,806819
Zimbabwei dollár (2009);ZWL;364,8732
